GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bukkit,org.bukkit.event.inventory,PrepareItemCraftEvent,29,0,0,0,10,0,7,0,7,0
Bukkit,org.bukkit.event.inventory,InventoryClickEvent,134,0,10,0,36,0,24,0,19,0
Bukkit,org.bukkit.event.inventory,InventoryCreativeEvent,18,0,0,0,6,0,3,0,3,0
Bukkit,org.bukkit.event.inventory,InventoryDragEvent,84,0,4,0,24,0,13,0,11,0
Bukkit,org.bukkit.event.inventory,CraftItemEvent,51,0,6,0,10,0,8,0,5,0
Bukkit,org.bukkit.event.inventory,InventoryType.SlotType,74,0,0,0,8,0,1,0,1,0
Bukkit,org.bukkit.event.inventory,DragType,24,0,0,0,3,0,1,0,1,0
Bukkit,org.bukkit.event.inventory,FurnaceBurnEvent,52,0,0,0,20,0,12,0,12,0
Bukkit,org.bukkit.event.inventory,FurnaceExtractEvent,23,0,0,0,8,0,4,0,4,0
Bukkit,org.bukkit.event.inventory,BrewEvent,26,0,0,0,10,0,7,0,7,0
Bukkit,org.bukkit.event.inventory,InventoryType,6,195,0,0,2,20,2,2,2,2
Bukkit,org.bukkit.event.inventory,FurnaceSmeltEvent,42,0,0,0,16,0,10,0,10,0
Bukkit,org.bukkit.event.inventory,InventoryInteractEvent,34,0,4,0,10,0,8,0,6,0
Bukkit,org.bukkit.event.inventory,InventoryCloseEvent,17,0,0,0,6,0,5,0,5,0
Bukkit,org.bukkit.event.inventory,InventoryEvent,27,0,0,0,9,0,7,0,7,0
Bukkit,org.bukkit.event.inventory,InventoryMoveItemEvent,61,0,2,0,20,0,12,0,11,0
Bukkit,org.bukkit.event.inventory,InventoryAction,194,0,0,0,20,0,1,0,1,0
Bukkit,org.bukkit.event.inventory,InventoryOpenEvent,27,0,0,0,10,0,7,0,7,0
Bukkit,org.bukkit.event.inventory,InventoryPickupItemEvent,31,0,0,0,12,0,8,0,8,0
Bukkit,org.bukkit.event.inventory,ClickType,196,0,28,0,19,0,20,0,6,0
Bukkit,org.bukkit.material,Step,91,34,10,0,22,10,16,2,11,2
Bukkit,org.bukkit.material,PistonBaseMaterial,116,5,19,0,33,2,23,1,9,1
Bukkit,org.bukkit.material,Cauldron,55,5,8,0,8,2,10,1,6,1
Bukkit,org.bukkit.material,MonsterEggs,36,22,4,0,12,7,8,2,6,2
Bukkit,org.bukkit.material,Wool,40,14,0,0,13,5,7,3,7,3
Bukkit,org.bukkit.material,Torch,59,5,10,0,28,2,15,1,7,1
Bukkit,org.bukkit.material,Ladder,58,5,10,0,27,2,15,1,7,1
Bukkit,org.bukkit.material,LongGrass,49,5,0,0,16,2,9,1,9,1
Bukkit,org.bukkit.material,ExtendedRails,71,5,12,0,15,2,13,1,7,1
Bukkit,org.bukkit.material,Pumpkin,92,5,12,0,30,2,18,1,10,1
Bukkit,org.bukkit.material,SpawnEgg,41,5,0,0,12,2,7,1,7,1
Bukkit,org.bukkit.material,DirectionalContainer,63,5,8,0,24,2,13,1,7,1
Bukkit,org.bukkit.material,Crops,49,5,0,0,16,2,9,1,9,1
Bukkit,org.bukkit.material,Skull,79,5,10,0,32,2,17,1,9,1
Bukkit,org.bukkit.material,Lever,173,5,28,0,46,2,29,1,10,1
Bukkit,org.bukkit.material,Leaves,57,0,0,0,18,0,10,0,10,0
Bukkit,org.bukkit.material,Door,164,5,25,0,40,2,28,1,13,1
Bukkit,org.bukkit.material,Mushroom,250,17,61,3,60,3,44,2,9,1
Bukkit,org.bukkit.material,Vine,342,12,62,0,80,3,52,1,9,1
Bukkit,org.bukkit.material,Tree,115,5,8,0,35,2,18,1,12,1
Bukkit,org.bukkit.material,CocoaPlant,130,5,16,0,42,2,23,1,11,1
Bukkit,org.bukkit.material,Dye,36,14,0,0,10,5,6,3,6,3
Bukkit,org.bukkit.material,Furnace,27,5,0,0,12,2,6,1,6,1
Bukkit,org.bukkit.material,Button,121,5,16,0,31,2,21,1,10,1
Bukkit,org.bukkit.material,Stairs,110,5,14,0,32,2,20,1,11,1
Bukkit,org.bukkit.material,FlowerPot,185,5,36,0,50,2,31,1,8,1
Bukkit,org.bukkit.material,CocoaPlant.CocoaPlantSize,34,0,0,0,4,0,1,0,1,0
Bukkit,org.bukkit.material,FurnaceAndDispenser,17,5,0,0,7,2,4,1,4,1
Bukkit,org.bukkit.material,WoodenStep,95,5,6,0,24,2,14,1,11,1
Bukkit,org.bukkit.material,TripwireHook,143,5,21,0,38,2,25,1,12,1
Bukkit,org.bukkit.material,DetectorRail,46,5,4,0,12,2,9,1,7,1
Bukkit,org.bukkit.material,EnderChest,27,5,0,0,12,2,6,1,6,1
Bukkit,org.bukkit.material,Gate,112,5,15,0,30,2,18,1,8,1
