GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HanLP,com.hankcs.hanlp.dependency.nnparser.action,ActionUtils,411,0,50,0,75,0,34,0,9,0
HanLP,com.hankcs.hanlp.dependency.nnparser.action,AbstractInexactAction,50,0,4,0,11,0,8,0,6,0
HanLP,com.hankcs.hanlp.dependency.nnparser.action,Action,8,0,0,0,4,0,2,0,2,0
HanLP,com.hankcs.hanlp.dependency.nnparser.action,ActionFactory,21,0,0,0,4,0,4,0,4,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,BitVector,184,0,8,0,30,0,15,0,11,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,DawgBuilder,918,0,80,0,189,0,66,0,26,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,DoubleArrayBuilder,1134,0,116,0,230,0,77,0,19,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,DoubleArrayBuilder.DoubleArrayBuilderExtraUnit,3,0,0,0,1,0,1,0,1,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,DawgBuilder.DawgNode,60,0,8,0,13,0,9,0,5,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,AutoIntPool,153,0,18,0,41,0,22,0,13,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,Keyset,51,0,6,0,13,0,9,0,6,0
HanLP,com.hankcs.hanlp.collection.dartsclone.details,AutoBytePool,153,0,18,0,41,0,22,0,13,0
HanLP,com.hankcs.hanlp.dictionary.py,Head,0,274,0,0,0,28,0,1,0,1
HanLP,com.hankcs.hanlp.dictionary.py,PinyinDictionary.Searcher,65,0,6,0,19,0,6,0,3,0
HanLP,com.hankcs.hanlp.dictionary.py,PinyinUtil,196,6,20,0,52,1,14,1,4,1
HanLP,com.hankcs.hanlp.dictionary.py,PinyinDictionary,230,169,15,15,40,33,16,11,6,6
HanLP,com.hankcs.hanlp.dictionary.py,Pinyin,24858,0,0,0,1477,0,10,0,10,0
HanLP,com.hankcs.hanlp.dictionary.py,Shengmu,0,244,0,0,0,25,0,1,0,1
HanLP,com.hankcs.hanlp.dictionary.py,String2PinyinConverter,63,5999,8,12,16,40,9,10,4,5
HanLP,com.hankcs.hanlp.dictionary.py,PinyinDictionary.new AhoCorasickDoubleArrayTrie.IHit() {...},0,40,1,5,0,5,1,4,0,2
HanLP,com.hankcs.hanlp.dictionary.py,Integer2PinyinConverter,7,3,0,0,2,1,2,1,2,1
HanLP,com.hankcs.hanlp.dictionary.py,TonePinyinString2PinyinConverter,192,0,18,0,36,0,18,0,9,0
HanLP,com.hankcs.hanlp.dictionary.py,Yunmu,0,354,0,0,0,36,0,1,0,1
HanLP,com.hankcs.hanlp.classification.statistics.evaluations,Evaluator,260,0,8,0,44,0,7,0,3,0
HanLP,com.hankcs.hanlp.classification.statistics.evaluations,FMeasure,221,0,4,0,22,0,5,0,3,0
HanLP,com.hankcs.hanlp.dependency.perceptron.transition.trainer,ArcEagerBeamTrainer,1827,0,230,0,378,0,124,0,9,0
HanLP,com.hankcs.hanlp.dictionary,CustomDictionary.Searcher,90,0,10,0,18,0,8,0,3,0
HanLP,com.hankcs.hanlp.dictionary,CustomDictionary.new AhoCorasickDoubleArrayTrie.IHit() {...},30,0,2,0,6,0,3,0,2,0
HanLP,com.hankcs.hanlp.dictionary,CoreDictionary,315,159,17,9,54,32,15,7,4,5
HanLP,com.hankcs.hanlp.dictionary,CoreSynonymDictionaryEx,69,60,7,10,16,18,10,7,5,3
HanLP,com.hankcs.hanlp.dictionary,CustomDictionary,871,222,105,19,172,45,78,10,19,7
HanLP,com.hankcs.hanlp.dictionary,CoreDictionary.Attribute,280,33,20,0,54,11,20,3,10,3
HanLP,com.hankcs.hanlp.dictionary,CoreBiGramTableDictionary,365,167,25,15,79,35,19,11,5,5
HanLP,com.hankcs.hanlp.dictionary,TransformMatrixDictionary,78,18,0,0,14,5,6,3,6,3
HanLP,com.hankcs.hanlp.dictionary,TransformMatrix,114,344,4,28,20,46,4,16,2,2
HanLP,com.hankcs.hanlp.dictionary,CoreDictionaryTransformMatrixDictionary,46,0,2,0,7,0,3,0,2,0
