GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core YCSB,com.yahoo.ycsb.measurements.exporter,TextMeasurementsExporter,62,0,0,0,11,0,4,0,4,0
Core YCSB,com.yahoo.ycsb.measurements.exporter,JSONMeasurementsExporter,80,0,2,0,21,0,5,0,4,0
Core YCSB,com.yahoo.ycsb.measurements.exporter,JSONArrayMeasurementsExporter,0,86,1,1,0,23,1,4,0,4
Core YCSB,com.yahoo.ycsb.measurements,TwoInOneMeasurement,48,0,0,0,13,0,5,0,5,0
Core YCSB,com.yahoo.ycsb.measurements,Measurements.StartTimeHolder,13,0,2,0,4,0,3,0,2,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementHdrHistogram,414,0,14,0,63,0,14,0,7,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementHistogram,49,260,4,18,8,46,4,11,1,3
Core YCSB,com.yahoo.ycsb.measurements,SeriesUnit,9,0,0,0,4,0,1,0,1,0
Core YCSB,com.yahoo.ycsb.measurements,Measurements,354,129,45,10,73,32,36,8,8,6
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementRaw.RawDataPoint,18,0,0,0,6,0,3,0,3,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementRaw.RawDataPointComparator,22,0,4,0,6,0,4,0,2,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurement,51,23,5,1,9,7,4,3,1,3
Core YCSB,com.yahoo.ycsb.measurements,Measurements.MeasurementType,0,64,0,0,0,7,0,1,0,1
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementRaw,390,0,12,0,66,0,10,0,4,0
Core YCSB,com.yahoo.ycsb.measurements,Measurements.new ThreadLocal() {...},4,6,0,0,1,1,1,1,1,1
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementTimeSeries,269,0,16,0,55,0,13,0,5,0
Core YCSB,com.yahoo.ycsb,Workload,22,0,0,0,8,0,6,0,6,0
Core YCSB,com.yahoo.ycsb,UnknownDBException,16,0,0,0,8,0,4,0,4,0
Core YCSB,com.yahoo.ycsb,Utils,120,311,13,15,28,52,15,17,6,12
Core YCSB,com.yahoo.ycsb,WorkloadException,16,0,0,0,8,0,4,0,4,0
Core YCSB,com.yahoo.ycsb,Client,1210,0,96,0,308,0,54,0,6,0
Core YCSB,com.yahoo.ycsb,ClientThread,249,0,32,0,69,0,22,0,6,0
Core YCSB,com.yahoo.ycsb,RandomByteIterator,24,191,2,6,4,29,3,8,1,6
Core YCSB,com.yahoo.ycsb,DBFactory,31,0,0,0,11,0,2,0,2,0
Core YCSB,com.yahoo.ycsb,InputStreamByteIterator,56,0,4,0,14,0,6,0,4,0
Core YCSB,com.yahoo.ycsb,ByteIterator,31,42,5,3,7,11,6,4,3,3
Core YCSB,com.yahoo.ycsb,CommandLine,843,0,90,0,200,0,49,0,4,0
Core YCSB,com.yahoo.ycsb,GoodBadUglyDB,176,0,16,0,40,0,17,0,9,0
Core YCSB,com.yahoo.ycsb,DB,17,0,0,0,7,0,5,0,5,0
Core YCSB,com.yahoo.ycsb,RemainingFormatter,82,0,10,0,18,0,7,0,2,0
Core YCSB,com.yahoo.ycsb,StringByteIterator,153,0,12,0,26,0,15,0,9,0
Core YCSB,com.yahoo.ycsb,Client.new Thread() {...},12,0,0,0,7,0,2,0,2,0
Core YCSB,com.yahoo.ycsb,DBException,16,0,0,0,8,0,4,0,4,0
Core YCSB,com.yahoo.ycsb,TerminatorThread,90,0,6,0,25,0,5,0,2,0
Core YCSB,com.yahoo.ycsb,BasicDB,363,0,42,0,69,0,29,0,8,0
