GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Redirect30xInterceptor,46,308,12,40,12,67,8,22,0,4
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,ProxyUnauthorized407Interceptor,147,200,16,17,47,52,14,9,1,4
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,ResponseFiltersInterceptor,7,62,0,4,2,16,0,4,0,2
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Interceptors,0,168,1,19,0,28,1,11,0,2
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,ConnectSuccessInterceptor,0,54,1,1,0,14,1,3,0,3
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Continue100Interceptor.new OnLastHttpContentCallback() {...},0,24,0,0,0,4,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Unauthorized401Interceptor,121,217,12,19,35,60,11,11,1,4
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Continue100Interceptor,0,22,0,0,0,7,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.CipherGen,367,160,36,6,81,47,35,8,15,7
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine,442,632,20,12,89,102,22,24,9,21
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.Type3Message,101,293,23,11,23,63,17,2,0,2
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.Type1Message,0,39,0,0,0,13,0,1,0,1
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.HMACMD5,119,0,6,0,30,0,6,0,3,0
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.MD4,3,1207,1,9,0,103,1,11,0,7
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngineException,5,4,0,0,2,2,1,1,1,1
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.NTLMMessage,48,231,5,13,11,49,7,17,3,12
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.Type2Message,26,71,5,5,7,17,4,6,0,5
Asynchronous Http Client,org.asynchttpclient.netty.handler,AsyncHttpClientHandler,78,291,15,37,20,82,12,21,0,7
Asynchronous Http Client,org.asynchttpclient.netty.handler,WebSocketHandler.new Runnable() {...},46,0,0,0,8,0,2,0,2,0
Asynchronous Http Client,org.asynchttpclient.netty.handler,WebSocketHandler.UpgradeCallback,57,141,9,15,8,30,9,6,0,3
Asynchronous Http Client,org.asynchttpclient.netty.handler,WebSocketHandler,85,146,12,12,23,36,9,8,1,4
Asynchronous Http Client,org.asynchttpclient.netty.handler,HttpHandler,56,333,21,49,12,70,19,29,1,12
Asynchronous Http Client,org.asynchttpclient.netty.handler,StreamedResponsePublisher,7,44,0,0,2,13,0,3,0,3
Asynchronous Http Client,io.netty.util.internal,MacAddressUtil,313,0,58,0,87,0,35,0,6,0
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyInputStreamBody.new WriteProgressListener() {...},0,19,0,0,0,4,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyReactiveStreamsBody,4,44,1,1,1,13,1,5,0,5
Asynchronous Http Client,org.asynchttpclient.netty.request.body,BodyChunkedInput,25,53,4,4,5,16,4,5,0,4
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyCompositeByteArrayBody,53,0,2,0,14,0,6,0,5,0
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyByteArrayBody,0,26,0,0,0,9,0,5,0,5
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyBodyBody.new WriteProgressListener() {...},0,17,0,0,0,4,0,2,0,2
