GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Redirect30xInterceptor,47,310,12,40,12,67,8,22,0,4
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,ProxyUnauthorized407Interceptor,147,200,16,17,47,52,14,9,1,4
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,ResponseFiltersInterceptor,7,62,0,4,2,16,0,4,0,2
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Interceptors,0,168,1,19,0,28,1,11,0,2
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,ConnectSuccessInterceptor,0,54,1,1,0,14,1,3,0,3
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Continue100Interceptor.new OnLastHttpContentCallback() {...},0,24,0,0,0,4,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Unauthorized401Interceptor,126,212,13,18,37,58,12,10,1,4
Asynchronous Http Client,org.asynchttpclient.netty.handler.intercept,Continue100Interceptor,0,22,0,0,0,7,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.CipherGen,367,160,36,6,81,47,35,8,15,7
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine,444,638,22,14,89,102,24,24,9,21
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.Type3Message,101,293,23,11,23,63,17,2,0,2
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.Type1Message,0,39,0,0,0,13,0,1,0,1
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.HMACMD5,119,0,6,0,30,0,6,0,3,0
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.MD4,3,1207,1,9,0,103,1,11,0,7
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngineException,5,4,0,0,2,2,1,1,1,1
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.NTLMMessage,48,231,5,13,11,49,7,17,3,12
Asynchronous Http Client,org.asynchttpclient.ntlm,NtlmEngine.Type2Message,26,71,5,5,7,17,4,6,0,5
Asynchronous Http Client,org.asynchttpclient.netty.handler,AsyncHttpClientHandler,149,257,23,33,36,77,18,18,0,8
Asynchronous Http Client,org.asynchttpclient.netty.handler,WebSocketHandler,91,205,15,19,24,43,15,10,2,6
Asynchronous Http Client,org.asynchttpclient.netty.handler,HttpHandler,45,266,18,44,10,57,16,25,1,9
Asynchronous Http Client,org.asynchttpclient.netty.handler,StreamedResponsePublisher,7,44,0,0,2,13,0,3,0,3
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyInputStreamBody.new WriteProgressListener() {...},0,19,0,0,0,4,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyReactiveStreamsBody,4,44,1,1,1,13,1,5,0,5
Asynchronous Http Client,org.asynchttpclient.netty.request.body,BodyChunkedInput,31,71,4,4,6,20,5,7,1,6
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyCompositeByteArrayBody,53,0,2,0,14,0,6,0,5,0
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyByteArrayBody,0,26,0,0,0,9,0,5,0,5
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyBodyBody.new WriteProgressListener() {...},0,17,0,0,0,4,0,2,0,2
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyBodyBody.new FeedListener() {...},1,13,0,0,1,3,1,2,1,2
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyMultipartBody,0,19,0,0,0,6,0,3,0,3
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyFileBody,19,95,2,6,3,18,4,7,2,5
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyReactiveStreamsBody.NettySubscriber,14,63,1,1,3,16,1,7,0,7
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyInputStreamBody,7,64,1,3,3,18,2,7,1,6
Asynchronous Http Client,org.asynchttpclient.netty.request.body,BodyFileRegion,13,44,1,1,5,14,5,7,4,7
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyBodyBody,3,89,4,6,1,17,5,5,1,4
Asynchronous Http Client,org.asynchttpclient.netty.request.body,NettyDirectBody,5,3,0,0,1,1,1,1,1,1
