GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AutoValue Processor,com.google.auto.value.extension,AutoValueExtension,2,9,0,0,1,4,1,4,1,4
AutoValue Processor,com.google.auto.value.processor,TypeSimplifier,12,442,6,38,3,96,6,33,0,17
AutoValue Processor,com.google.auto.value.processor,BuilderSpec.Builder,0,335,0,30,0,76,0,21,0,6
AutoValue Processor,com.google.auto.value.processor,GwtCompatibility,64,40,4,4,14,12,5,4,2,3
AutoValue Processor,com.google.auto.value.processor,PropertyBuilderClassifier,1,549,8,52,1,107,8,31,0,9
AutoValue Processor,com.google.auto.value.processor,TypeEncoder.RawEncodingTypeVisitor,0,5,0,0,0,2,0,2,0,2
AutoValue Processor,com.google.auto.value.processor,TypeEncoder.TypeRewriter,34,273,8,21,9,50,8,14,0,7
AutoValue Processor,com.google.auto.value.processor,AutoValueOrOneOfProcessor.Property,0,95,1,3,0,25,1,16,0,15
AutoValue Processor,com.google.auto.value.processor,TypeSimplifier.CastingUncheckedVisitor,6,65,1,13,2,13,3,11,2,5
AutoValue Processor,com.google.auto.value.processor,ErrorReporter,0,47,0,2,0,15,0,7,0,6
AutoValue Processor,com.google.auto.value.processor,AutoValueTemplateVars,0,41,0,0,0,13,0,3,0,3
AutoValue Processor,com.google.auto.value.processor,Reformatter,3,210,0,34,1,55,1,23,1,4
AutoValue Processor,com.google.auto.value.processor,BuilderSpec.PropertyGetter,0,22,0,0,0,8,0,4,0,4
AutoValue Processor,com.google.auto.value.processor,AutoOneOfProcessor,14,405,5,24,5,98,5,28,0,18
AutoValue Processor,com.google.auto.value.processor,ExtensionContext,0,31,0,0,0,11,0,6,0,6
AutoValue Processor,com.google.auto.value.processor,AutoAnnotationProcessor.Parameter,0,17,0,0,0,6,0,3,0,3
AutoValue Processor,com.google.auto.value.processor,TypeMirrorSet.new Iterator() {...},0,24,0,0,0,5,0,4,0,4
AutoValue Processor,com.google.auto.value.processor,AutoAnnotationProcessor.Member,12,118,8,10,5,29,8,9,0,8
AutoValue Processor,com.google.auto.value.processor,MissingTypeException,0,3,0,0,0,1,0,1,0,1
AutoValue Processor,com.google.auto.value.processor,TypeSimplifier.Spelling,0,9,0,0,0,4,0,1,0,1
AutoValue Processor,com.google.auto.value.processor,AutoValueProcessor,28,867,11,82,6,201,9,59,0,21
AutoValue Processor,com.google.auto.value.processor,AnnotationOutput.InitializerSourceFormVisitor,0,37,0,0,0,10,0,2,0,2
AutoValue Processor,com.google.auto.value.processor,AbortProcessingException,0,3,0,0,0,1,0,1,0,1
AutoValue Processor,com.google.auto.value.processor,TypeMirrorSet,8,87,1,5,2,20,2,12,1,10
AutoValue Processor,com.google.auto.value.processor,JavaScanner,30,213,15,41,2,31,15,21,0,7
AutoValue Processor,com.google.auto.value.processor,GwtSerialization.Property,88,0,8,0,19,0,12,0,8,0
AutoValue Processor,com.google.auto.value.processor,AutoValueBuilderProcessor,2,54,2,6,1,15,2,6,0,4
AutoValue Processor,com.google.auto.value.processor,TemplateVars.new FilterInputStream() {...},13,0,0,0,4,0,2,0,2,0
AutoValue Processor,com.google.auto.value.processor,GwtSerialization,271,25,16,2,44,10,11,3,2,3
AutoValue Processor,com.google.auto.value.processor,AutoValueOrOneOfTemplateVars,0,3,0,0,0,1,0,1,0,1
AutoValue Processor,com.google.auto.value.processor,AnnotationOutput,50,80,8,5,10,19,7,6,0,5
AutoValue Processor,com.google.auto.value.processor,TypeEncoder.AnnotatedEncodingTypeVisitor,29,60,2,2,6,14,2,5,0,5
AutoValue Processor,com.google.auto.value.processor,AutoAnnotationProcessor,91,866,10,70,20,192,9,59,1,27
AutoValue Processor,com.google.auto.value.processor,TemplateVars,131,226,7,25,24,47,6,23,1,12
AutoValue Processor,com.google.auto.value.processor,AnnotationOutput.AnnotationSourceFormVisitor,0,63,0,4,0,14,0,4,0,2
AutoValue Processor,com.google.auto.value.processor,PropertyBuilderClassifier.PropertyBuilder,0,69,0,0,0,21,0,11,0,11
AutoValue Processor,com.google.auto.value.processor,AutoOneOfTemplateVars,0,9,0,0,0,3,0,3,0,3
AutoValue Processor,com.google.auto.value.processor,AutoValueOrOneOfProcessor.ObjectMethod,0,44,0,0,0,5,0,1,0,1
AutoValue Processor,com.google.auto.value.processor,EclipseHack,76,60,9,3,19,18,6,4,1,3
AutoValue Processor,com.google.auto.value.processor,TypeEncoder,12,162,1,9,2,37,1,14,0,10
AutoValue Processor,com.google.auto.value.processor,GwtSerialization.GwtTemplateVars,9,0,0,0,3,0,3,0,3,0
AutoValue Processor,com.google.auto.value.processor,BuilderSpec.PropertySetter,17,149,2,10,2,38,2,13,0,9
AutoValue Processor,com.google.auto.value.processor,AutoValueOrOneOfProcessor,156,1401,24,155,23,325,25,125,2,57
AutoValue Processor,com.google.auto.value.processor,BuilderSpec,0,225,0,26,0,49,0,20,0,7
AutoValue Processor,com.google.auto.value.processor,Optionalish,54,106,6,9,7,24,7,10,2,7
AutoValue Processor,com.google.auto.value.processor,AutoValueOrOneOfProcessor.ContainsMutableVisitor,0,12,0,0,0,1,0,2,0,2
AutoValue Processor,com.google.auto.value.processor,AnnotationOutput.SourceFormVisitor,30,118,6,8,6,31,6,10,0,9
AutoValue Processor,com.google.auto.value.processor,BuilderMethodClassifier,23,952,12,91,5,205,12,61,0,21
AutoValue Processor,com.google.auto.value.processor,TypeEncoder.EncodingTypeVisitor,0,131,0,10,0,31,0,13,0,8
AutoValue Processor,com.google.auto.value.processor,AutoAnnotationTemplateVars,0,9,0,0,0,3,0,3,0,3
AutoValue Processor,com.google.auto.value.processor,SimpleMethod,2,33,1,3,1,11,1,5,0,4
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizeExtension.Generator.MethodOverrider.CheckBooleanField,51,0,0,0,6,0,4,0,4,0
AutoValue Processor,com.google.auto.value.extension.memoized.processor,ClassNames,3,0,0,0,1,0,1,0,1,0
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizeExtension,2,83,1,7,1,17,1,9,0,6
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizedValidator,9,79,1,7,0,21,3,8,2,5
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizeExtension.Generator.MethodOverrider.InitializationStrategy,0,6,0,0,0,1,0,1,0,1
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizeExtension.Generator.MethodOverrider,31,352,9,21,5,75,9,17,0,11
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizeExtension.Generator,27,218,4,10,4,42,4,8,0,5
AutoValue Processor,com.google.auto.value.extension.memoized.processor,MemoizeExtension.Generator.MethodOverrider.NullMeansUninitialized,0,53,0,0,0,9,0,4,0,4
