GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crawler4j,edu.uci.ics.crawler4j.parser,HtmlParseData,12,29,0,0,4,13,4,8,4,8
crawler4j,edu.uci.ics.crawler4j.parser,BinaryParseData,130,0,6,0,35,0,12,0,9,0
crawler4j,edu.uci.ics.crawler4j.parser,TextParseData,3,22,0,0,1,8,1,5,1,5
crawler4j,edu.uci.ics.crawler4j.parser,HtmlContentHandler,70,262,31,37,15,65,25,18,0,9
crawler4j,edu.uci.ics.crawler4j.parser,AllTagMapper,0,11,0,0,0,4,0,4,0,4
crawler4j,edu.uci.ics.crawler4j.parser,HtmlContentHandler.Element,0,114,0,0,0,12,0,1,0,1
crawler4j,edu.uci.ics.crawler4j.parser,HtmlContentHandler.HtmlFactory,0,33,0,2,0,5,0,3,0,2
crawler4j,edu.uci.ics.crawler4j.parser,Parser,106,216,18,16,25,53,15,5,0,3
crawler4j,edu.uci.ics.crawler4j.parser,NotAllowedContentException,4,0,0,0,2,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.parser,ExtractedUrlAnchorPair,0,24,0,0,0,10,0,7,0,7
crawler4j,edu.uci.ics.crawler4j.frontier,InProcessPagesDB,71,0,6,0,20,0,6,0,3,0
crawler4j,edu.uci.ics.crawler4j.frontier,WebURLTupleBinding,0,73,0,0,0,18,0,3,0,3
crawler4j,edu.uci.ics.crawler4j.frontier,WorkQueues,11,237,7,11,1,58,7,12,0,10
crawler4j,edu.uci.ics.crawler4j.frontier,Frontier,139,228,20,14,34,68,17,13,3,10
crawler4j,edu.uci.ics.crawler4j.frontier,DocIDServer,138,133,14,6,31,30,12,6,3,5
crawler4j,edu.uci.ics.crawler4j.frontier,Counters,119,98,7,5,27,29,5,8,0,7
crawler4j,edu.uci.ics.crawler4j.frontier,Counters.ReservedCounterNames,3,0,0,0,1,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.robotstxt,RobotstxtParser,29,135,6,12,8,33,7,5,1,2
crawler4j,edu.uci.ics.crawler4j.robotstxt,RobotstxtConfig,12,31,0,0,6,11,3,6,3,6
crawler4j,edu.uci.ics.crawler4j.robotstxt,UserAgentDirectives.UserAgentComparator,14,54,3,5,3,16,3,3,0,2
crawler4j,edu.uci.ics.crawler4j.robotstxt,PathRule,18,166,8,20,4,37,7,12,0,5
crawler4j,edu.uci.ics.crawler4j.robotstxt,UserAgentDirectives.PathComparator,10,41,5,5,3,11,5,2,0,2
crawler4j,edu.uci.ics.crawler4j.robotstxt,RobotstxtServer,159,212,25,21,38,48,21,8,0,6
crawler4j,edu.uci.ics.crawler4j.robotstxt,UserAgentDirectives,52,136,10,14,16,30,13,9,4,6
crawler4j,edu.uci.ics.crawler4j.robotstxt,HostDirectives,43,93,10,8,10,20,10,7,3,5
crawler4j,edu.uci.ics.crawler4j.fetcher,PageFetcher,362,302,32,26,75,76,29,9,4,5
crawler4j,edu.uci.ics.crawler4j.fetcher,IdleConnectionMonitorThread,1,44,0,2,1,16,0,4,0,3
crawler4j,edu.uci.ics.crawler4j.fetcher,PageFetcher.new TrustStrategy() {...},2,6,0,0,1,1,1,1,1,1
crawler4j,edu.uci.ics.crawler4j.fetcher,PageFetchResult,7,84,1,1,3,32,1,14,0,14
crawler4j,edu.uci.ics.crawler4j.fetcher,SniSSLConnectionSocketFactory,25,5,6,0,3,2,4,1,1,1
crawler4j,edu.uci.ics.crawler4j.fetcher,SniPoolingHttpClientConnectionManager,42,16,10,0,10,7,5,3,0,3
crawler4j,edu.uci.ics.crawler4j.url,WebURL,47,205,11,11,11,47,10,25,4,20
crawler4j,edu.uci.ics.crawler4j.url,UrlResolver.Url,36,66,3,9,10,17,4,4,1,1
crawler4j,edu.uci.ics.crawler4j.url,TLDList,83,95,2,8,24,26,2,9,0,6
