GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cucumber-JVM: Core,cucumber.api.event,TestStepStarted,0,7,0,0,0,3,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,TestCaseStarted,0,7,0,0,0,3,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,TestStepFinished,0,10,0,0,0,4,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,TimeStampedEvent,0,9,0,0,0,4,0,2,0,2
Cucumber-JVM: Core,cucumber.api.event,TestCaseFinished,0,10,0,0,0,4,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,TestSourceRead,0,10,0,0,0,4,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,TestRunStarted,0,4,0,0,0,2,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,SnippetsSuggestedEvent,0,14,0,0,0,5,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,TestRunFinished,0,4,0,0,0,2,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,EmbedEvent,0,10,0,0,0,4,0,1,0,1
Cucumber-JVM: Core,cucumber.api.event,WriteEvent,0,7,0,0,0,3,0,1,0,1
Cucumber-JVM: Core,cucumber.runtime.autocomplete,MetaStepdef,111,0,18,0,21,0,16,0,7,0
Cucumber-JVM: Core,cucumber.runtime.autocomplete,MetaStepdef.MetaArgument,3,0,0,0,1,0,1,0,1,0
Cucumber-JVM: Core,cucumber.runtime.autocomplete,MetaStepdef.MetaStep,63,0,10,0,12,0,9,0,4,0
Cucumber-JVM: Core,cucumber.runtime.snippets,CamelCaseConcatenator,0,58,0,4,0,10,0,5,0,3
Cucumber-JVM: Core,cucumber.runtime.snippets,ArgumentPattern,0,38,0,0,0,11,0,5,0,5
Cucumber-JVM: Core,cucumber.runtime.snippets,UnderscoreConcatenator,0,44,0,4,0,10,0,4,0,2
Cucumber-JVM: Core,cucumber.runtime.snippets,FunctionNameGenerator,0,94,1,11,0,18,1,9,0,4
Cucumber-JVM: Core,cucumber.runtime.snippets,SnippetGenerator,226,0,20,0,38,0,17,0,7,0
Cucumber-JVM: Core,cucumber.runtime.formatter,ProgressFormatter,7,107,3,5,2,25,4,7,1,6
Cucumber-JVM: Core,cucumber.runtime.formatter,TestNGFormatter.new EventHandler() {...},0,11,0,0,0,3,0,2,0,2
