GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
druid,com.alibaba.druid.support.jconsole,DruidDataSourcePanel,109,0,2,0,25,0,4,0,3,0
druid,com.alibaba.druid.support.jconsole,DruidPlugin.new SwingWorker() {...},10,0,0,0,2,0,2,0,2,0
druid,com.alibaba.druid.support.jconsole,DruidPlugin,63,0,2,0,13,0,5,0,4,0
druid,com.alibaba.druid.support.jconsole,DruidPanel,185,0,12,0,50,0,12,0,6,0
druid,com.alibaba.druid.support.jconsole,DruidSQLPanel.new ArrayList() {...},55,0,0,0,15,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidSQLPanel.new ArrayList() {...},19,0,0,0,6,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidSQLPanel.new ArrayList() {...},55,0,0,0,15,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidSQLPanel.new MouseAdapter() {...},31,0,2,0,6,0,3,0,2,0
druid,com.alibaba.druid.support.jconsole,DruidSQLPanel.new JTable() {...},12,0,0,0,2,0,2,0,2,0
druid,com.alibaba.druid.support.jconsole,DruidDriverPanel,36,0,0,0,9,0,2,0,2,0
druid,com.alibaba.druid.support.jconsole,DruidSqlDetailFrame.new ArrayList() {...},35,0,0,0,10,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidSqlDetailFrame.new ArrayList() {...},19,0,0,0,6,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidSqlDetailFrame.new ArrayList() {...},15,0,0,0,5,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidSqlDetailFrame.new ArrayList() {...},23,0,0,0,7,0,1,0,1,0
druid,com.alibaba.druid.support.jconsole,DruidPanel.new ComponentListener() {...},42,0,0,0,7,0,5,0,5,0
druid,com.alibaba.druid.support.jconsole,DruidSQLPanel,465,0,40,0,94,0,26,0,6,0
druid,com.alibaba.druid.support.jconsole,DruidSqlDetailFrame,452,0,28,0,102,0,21,0,7,0
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlPrimaryKey,0,33,0,2,0,11,0,4,0,3
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlKey,5,87,3,5,1,31,3,12,0,11
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlObjectImpl,14,12,1,1,1,4,1,2,0,2
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlIndexHintImpl,32,18,2,0,9,6,3,4,2,4
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlIgnoreIndexHint,9,16,0,2,3,5,1,3,1,2
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlUnique,0,30,0,2,0,10,0,4,0,3
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlIndexHint.Option,0,49,0,0,0,8,0,2,0,2
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlForceIndexHint,9,16,0,2,3,5,1,3,1,2
druid,com.alibaba.druid.sql.dialect.mysql.ast,MysqlForeignKey,4,99,1,3,2,33,2,14,1,13
druid,com.alibaba.druid.sql.dialect.mysql.ast,MySqlUseIndexHint,9,16,0,2,3,5,1,3,1,2
druid,com.alibaba.druid.sql.builder.impl,SQLDeleteBuilderImpl,116,78,8,4,29,20,11,8,6,7
druid,com.alibaba.druid.sql.builder.impl,SQLUpdateBuilderImpl,180,102,13,5,44,24,15,10,8,8
druid,com.alibaba.druid.sql.builder.impl,SQLSelectBuilderImpl,180,222,15,13,44,59,18,20,8,16
druid,com.alibaba.druid.sql.builder.impl,SQLBuilderImpl,57,3,10,0,11,1,6,1,1,1
druid,com.alibaba.druid.sql.dialect.mysql.visitor,MySqlOutputVisitor,1575,7829,679,1379,253,1910,572,724,14,253
druid,com.alibaba.druid.sql.dialect.mysql.visitor,MySqlEvalVisitorImpl,24,119,0,0,7,32,5,22,5,22
druid,com.alibaba.druid.sql.dialect.mysql.visitor,OracleToMySqlOutputVisitor,303,0,0,0,200,0,198,0,198,0
druid,com.alibaba.druid.sql.dialect.mysql.visitor,MySqlShowColumnOutpuVisitor,0,481,1,45,0,114,1,26,0,4
druid,com.alibaba.druid.sql.dialect.mysql.visitor,MySqlASTVisitorAdapter,53,307,0,0,35,204,35,204,35,204
