GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fastjson,com.alibaba.fastjson.support.hsf,HSFJSONUtils,14,241,5,23,5,65,6,11,1,2
fastjson,com.alibaba.fastjson.support.spring,FastJsonpResponseBodyAdvice,11,100,3,7,2,23,4,10,1,8
fastjson,com.alibaba.fastjson.support.spring,FastJsonpHttpMessageConverter4,0,42,0,0,0,10,0,8,0,8
fastjson,com.alibaba.fastjson.support.spring,PropertyPreFilters,36,25,0,0,9,6,4,3,4,3
fastjson,com.alibaba.fastjson.support.spring,FastJsonHttpMessageConverter.Spring4TypeResolvableHelper,92,64,15,13,20,22,10,8,0,4
fastjson,com.alibaba.fastjson.support.spring,MappingFastJsonValue,7,54,2,4,3,18,4,6,2,5
fastjson,com.alibaba.fastjson.support.spring,FastJsonRedisSerializer,30,67,0,6,4,22,0,8,0,5
fastjson,com.alibaba.fastjson.support.spring,FastJsonHttpMessageConverter4,0,42,0,0,0,10,0,8,0,8
fastjson,com.alibaba.fastjson.support.spring,GenericFastJsonRedisSerializer,15,58,0,6,2,11,0,7,0,4
fastjson,com.alibaba.fastjson.support.spring,FastJsonHttpMessageConverter,42,271,4,16,8,77,4,29,0,23
fastjson,com.alibaba.fastjson.support.spring,FastJsonJsonView,23,320,5,25,4,92,6,33,1,23
fastjson,com.alibaba.fastjson.support.spring,FastJsonContainer,4,16,0,0,2,7,1,4,1,4
fastjson,com.alibaba.fastjson.support.spring,PropertyPreFilters.MySimplePropertyPreFilter,32,25,2,2,7,6,4,3,3,2
fastjson,com.alibaba.fastjson.support.spring,FastJsonViewResponseBodyAdvice,3,104,2,8,0,16,2,8,0,5
fastjson,com.alibaba.fastjson.support.spring,FastjsonSockJsMessageCodec,12,22,0,0,2,6,2,2,2,2
fastjson,com.alibaba.fastjson.support.spring,JSONPResponseBodyAdvice,18,69,5,7,2,18,5,6,1,4
fastjson,com.alibaba.fastjson.support.jaxrs,FastJsonFeature,3,53,1,3,2,13,1,4,0,3
fastjson,com.alibaba.fastjson.support.jaxrs,FastJsonProvider,50,381,5,43,11,92,5,43,1,23
fastjson,com.alibaba.fastjson.support.jaxrs,FastJsonAutoDiscoverable,0,20,1,3,0,6,1,4,0,3
fastjson,com.alibaba.fastjson.asm,Label,0,127,0,8,0,27,0,8,0,4
fastjson,com.alibaba.fastjson.asm,TypeCollector.new HashMap() {...},0,43,0,0,0,10,0,1,0,1
fastjson,com.alibaba.fastjson.asm,MethodCollector,1,77,2,8,0,15,2,6,0,3
fastjson,com.alibaba.fastjson.asm,ClassReader,65,751,15,76,17,172,12,44,0,8
fastjson,com.alibaba.fastjson.asm,TypeCollector,61,149,12,20,9,33,11,13,1,7
fastjson,com.alibaba.fastjson.asm,ClassWriter,14,704,3,51,1,140,3,37,0,13
fastjson,com.alibaba.fastjson.asm,Item,10,158,3,19,1,32,2,16,0,5
fastjson,com.alibaba.fastjson.asm,MethodWriter,30,446,10,36,4,92,10,28,0,15
fastjson,com.alibaba.fastjson.asm,Type,62,341,17,45,17,76,16,34,1,9
fastjson,com.alibaba.fastjson.asm,FieldWriter,0,55,0,2,0,16,0,5,0,4
fastjson,com.alibaba.fastjson.asm,ByteVector,8,321,5,19,2,71,5,17,0,10
fastjson,com.alibaba.fastjson.support.spring.messaging,MappingFastJsonMessageConverter,23,77,2,2,3,18,2,8,0,8
fastjson,com.alibaba.fastjson.util,JavaBeanInfo,88,2341,67,423,22,530,63,194,1,11
fastjson,com.alibaba.fastjson.util,AntiCollisionHashMap.EntryIterator,0,10,0,0,0,2,0,2,0,2
