GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fastjson,com.alibaba.fastjson.serializer,SerializeConfig,45,501,5,51,7,92,6,31,2,7
fastjson,com.alibaba.fastjson.serializer,ArraySerializer,0,396,1,63,0,114,1,33,0,2
fastjson,com.alibaba.fastjson.serializer,MapSerializer,0,269,0,56,0,76,0,30,0,2
fastjson,com.alibaba.fastjson.serializer,CollectionCodec,11,277,3,45,3,74,3,24,0,3
fastjson,com.alibaba.fastjson.serializer,BigDecimalCodec,4,131,3,25,1,40,3,14,0,3
fastjson,com.alibaba.fastjson.serializer,MiscCodec,26,787,11,143,6,209,11,70,0,4
fastjson,com.alibaba.fastjson.serializer,SerializeWriter,38,4530,28,338,3,665,24,195,0,36
fastjson,com.alibaba.fastjson.serializer,BooleanCodec,4,87,1,15,1,31,1,10,0,3
fastjson,com.alibaba.fastjson.serializer,NumberCodec,4,335,1,81,1,89,1,46,0,6
fastjson,com.alibaba.fastjson.serializer,SerialContext,0,54,0,4,0,11,0,4,0,2
fastjson,com.alibaba.fastjson.serializer,FieldSerializer,32,293,10,26,8,64,7,16,0,5
fastjson,com.alibaba.fastjson.serializer,IntegerCodec,22,177,2,36,3,51,2,20,0,3
fastjson,com.alibaba.fastjson.serializer,EnumSerializer,0,48,0,6,0,13,0,5,0,2
fastjson,com.alibaba.fastjson.serializer,JSONSerializer,21,654,11,79,7,185,12,69,1,35
fastjson,com.alibaba.fastjson.serializer,AfterFilter,0,54,0,2,0,15,0,5,0,4
fastjson,com.alibaba.fastjson.serializer,BeforeFilter,0,54,0,2,0,15,0,5,0,4
fastjson,com.alibaba.fastjson.serializer,JavaBeanSerializer,24,1626,33,327,6,380,33,155,0,8
fastjson,com.alibaba.fastjson.serializer,StringCodec,0,23,0,2,0,9,0,4,0,3
fastjson,com.alibaba.fastjson.serializer,ArrayCodec,0,335,2,46,0,95,2,26,0,4
fastjson,com.alibaba.fastjson.serializer,SerializerFeature,2,176,1,3,1,32,1,4,0,3
fastjson,com.alibaba.fastjson.serializer,DateCodec,39,599,8,78,7,165,8,40,0,5
fastjson,com.alibaba.fastjson.serializer,SimplePropertyPreFilter,3,115,1,21,1,33,2,17,1,7
fastjson,com.alibaba.fastjson.serializer,FieldSerializer.RuntimeSerializerInfo,0,9,0,0,0,4,0,1,0,1
fastjson,com.alibaba.fastjson.serializer,ListSerializer,22,354,6,54,7,90,5,27,0,2
fastjson,com.alibaba.fastjson.parser,DefaultFieldDeserializer,0,190,4,30,0,43,4,16,0,3
fastjson,com.alibaba.fastjson.parser,ThrowableDeserializer,62,308,20,56,17,82,14,26,0,2
fastjson,com.alibaba.fastjson.parser,DefaultJSONParser,101,3660,52,495,25,862,47,278,0,41
fastjson,com.alibaba.fastjson.parser,EnumDeserializer,8,243,2,24,2,52,2,13,0,2
fastjson,com.alibaba.fastjson.parser,JSONToken,2,49,1,22,1,24,1,23,0,2
fastjson,com.alibaba.fastjson.parser,Feature,0,122,0,0,0,22,0,2,0,2
fastjson,com.alibaba.fastjson.parser,JSONLexer,1425,11402,418,1758,373,2553,368,803,0,63
fastjson,com.alibaba.fastjson.parser,JavaBeanDeserializer,214,2962,75,521,63,711,65,245,0,12
fastjson,com.alibaba.fastjson.parser,SymbolTable,0,186,3,19,0,39,3,12,0,4
fastjson,com.alibaba.fastjson.parser,JavaBeanInfo,43,1827,34,302,5,396,33,139,0,4
fastjson,com.alibaba.fastjson.parser,MapDeserializer,34,712,9,107,5,171,9,55,0,6
fastjson,com.alibaba.fastjson.parser,SymbolTable.Entry,0,13,0,0,0,5,0,1,0,1
fastjson,com.alibaba.fastjson.parser,ListTypeFieldDeserializer,47,581,27,73,10,147,26,27,0,3
fastjson,com.alibaba.fastjson.parser,JavaObjectDeserializer,0,59,0,6,0,16,0,6,0,3
fastjson,com.alibaba.fastjson.parser,ParserConfig,12,944,23,113,5,165,23,57,0,12
fastjson,com.alibaba.fastjson.parser,ParseContext,0,62,0,6,0,12,0,5,0,2
fastjson,com.alibaba.fastjson.parser,ResolveFieldDeserializer,3,137,2,10,2,41,3,8,1,4
fastjson,com.alibaba.fastjson.parser,DefaultJSONParser.ResolveTask,0,9,0,0,0,4,0,1,0,1
fastjson,com.alibaba.fastjson,JSON,170,1169,31,111,36,266,27,97,6,47
fastjson,com.alibaba.fastjson,TypeReference,25,199,6,20,3,43,6,12,0,5
fastjson,com.alibaba.fastjson,JSONWriter,0,227,3,31,0,89,3,36,0,16
fastjson,com.alibaba.fastjson,JSONReader,34,457,9,49,8,147,8,52,0,25
fastjson,com.alibaba.fastjson,JSONArray,29,373,2,20,7,105,2,64,1,54
fastjson,com.alibaba.fastjson,JSONException,0,9,0,0,0,4,0,2,0,2
fastjson,com.alibaba.fastjson,JSONObject,21,640,8,74,6,171,7,81,1,46
fastjson,com.alibaba.fastjson,PropertyNamingStrategy,4,176,8,21,2,39,8,10,0,2
fastjson,com.alibaba.fastjson,JSONStreamContext,0,9,0,0,0,4,0,1,0,1
fastjson,com.alibaba.fastjson.util,TypeUtils,336,3989,113,793,78,959,101,409,1,47
fastjson,com.alibaba.fastjson.util,IdentityHashMap,0,131,0,18,0,31,0,13,0,4
fastjson,com.alibaba.fastjson.util,IdentityHashMap.Entry,0,15,0,0,0,6,0,1,0,1
fastjson,com.alibaba.fastjson.util,ParameterizedTypeImpl,19,95,13,11,0,18,11,7,0,6
fastjson,com.alibaba.fastjson.util,FieldInfo,23,727,21,129,2,193,19,65,0,9
fastjson,com.alibaba.fastjson.parser.deserializer,FieldDeserializer,2,292,2,38,1,73,2,25,0,7
