GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Guice - Core Library,com.google.inject.util,Modules.EmptyModule,0,1,0,0,0,1,0,1,0,1
Google Guice - Core Library,com.google.inject.util,Modules.OverrideModule.new DefaultBindingScopingVisitor() {...},0,8,0,0,0,2,0,2,0,2
Google Guice - Core Library,com.google.inject.util,Modules.OverrideModule.new Modules.ModuleWriter() {...},0,47,0,0,0,7,0,4,0,4
Google Guice - Core Library,com.google.inject.util,Modules.OverrideModule.new Modules.ModuleWriter() {...},0,96,0,6,0,15,0,5,0,2
Google Guice - Core Library,com.google.inject.util,Modules.OverrideModule.new Modules.ModuleWriter() {...},7,137,1,17,2,31,1,13,0,5
Google Guice - Core Library,com.google.inject.util,Types,0,84,0,0,0,9,0,9,0,9
Google Guice - Core Library,com.google.inject.util,Modules.RealOverriddenModuleBuilder,0,19,0,0,0,5,0,3,0,3
Google Guice - Core Library,com.google.inject.util,Modules.CombinedModule,0,33,0,2,0,8,0,3,0,2
Google Guice - Core Library,com.google.inject.util,Providers,0,55,0,6,0,14,0,5,0,2
Google Guice - Core Library,com.google.inject.util,Providers.new ProviderWithDependencies() {...},12,21,0,0,1,5,1,4,1,4
Google Guice - Core Library,com.google.inject.util,Providers.new Provider() {...},0,22,0,0,0,3,0,3,0,3
Google Guice - Core Library,com.google.inject.util,Providers.new Provider() {...},12,9,0,0,1,2,1,2,1,2
Google Guice - Core Library,com.google.inject.util,Modules.OverrideModule,0,129,0,6,0,31,0,6,0,3
Google Guice - Core Library,com.google.inject.util,Modules,6,22,0,0,1,4,1,4,1,4
Google Guice - Core Library,com.google.inject.util,Modules.ModuleWriter,0,36,0,2,0,9,0,4,0,3
Google Guice - Core Library,com.google.inject,Key.NullAnnotationStrategy,7,20,0,0,2,5,2,4,2,4
Google Guice - Core Library,com.google.inject,Stage,0,34,0,0,0,4,0,1,0,1
Google Guice - Core Library,com.google.inject,Key.AnnotationInstanceStrategy,0,48,0,2,0,13,0,9,0,8
Google Guice - Core Library,com.google.inject,ProvisionException,11,40,1,1,3,10,2,4,1,4
Google Guice - Core Library,com.google.inject,AbstractModule,8,143,2,2,2,41,3,24,1,24
Google Guice - Core Library,com.google.inject,CreationException,1,28,1,1,0,7,1,3,0,3
Google Guice - Core Library,com.google.inject,TypeLiteral,28,481,6,40,2,96,6,37,0,20
Google Guice - Core Library,com.google.inject,PrivateModule,109,62,2,2,33,14,22,8,20,8
