GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUnit,org.junit.internal,ArrayComparisonFailure,3,78,1,3,1,20,2,4,1,3
JUnit,org.junit.internal,ExactComparisonCriteria,0,7,0,0,0,3,0,2,0,2
JUnit,org.junit.internal,ComparisonCriteria,34,99,2,18,4,25,2,12,0,4
JUnit,org.junit.internal,TextListener,6,210,0,10,2,41,1,16,1,11
JUnit,org.junit.internal,MethodSorter.new Comparator() {...},0,26,0,4,0,6,0,4,0,2
JUnit,org.junit.internal,AssumptionViolatedException,7,86,0,10,2,24,1,11,1,6
JUnit,org.junit.internal,MethodSorter,0,33,0,4,0,10,0,5,0,3
JUnit,org.junit.internal,RealSystem,0,5,0,0,0,2,0,2,0,2
JUnit,org.junit.internal,MethodSorter.new Comparator() {...},0,19,0,2,0,5,0,3,0,2
JUnit,org.junit.internal,InexactComparisonCriteria,0,41,0,2,0,10,0,4,0,3
JUnit,junit.extensions,TestDecorator,4,22,0,0,1,9,1,5,1,5
JUnit,junit.extensions,ActiveTestSuite.new Thread() {...},0,21,0,0,0,4,0,2,0,2
JUnit,junit.extensions,TestSetup,0,17,0,0,0,7,0,4,0,4
JUnit,junit.extensions,TestSetup.new Protectable() {...},0,21,0,0,0,5,0,2,0,2
JUnit,junit.extensions,ActiveTestSuite,15,40,0,2,8,16,3,6,3,5
JUnit,junit.extensions,RepeatedTest,11,35,1,5,2,10,2,5,1,3
JUnit,org.junit.runners,ParentRunner.new Comparator() {...},0,19,0,0,0,2,0,2,0,2
JUnit,org.junit.runners,ParentRunner.new Runnable() {...},0,20,0,0,0,3,0,2,0,2
JUnit,org.junit.runners,ParentRunner.new Statement() {...},0,15,0,0,0,3,0,2,0,2
JUnit,org.junit.runners,JUnit4,0,4,0,0,0,2,0,1,0,1
JUnit,org.junit.runners,AllTests,0,4,0,0,0,2,0,1,0,1
JUnit,org.junit.runners,ParentRunner.new RunnerScheduler() {...},0,10,0,0,0,4,0,3,0,3
JUnit,org.junit.runners,Parameterized,0,183,1,11,0,41,1,15,0,10
JUnit,org.junit.runners,ParentRunner,0,374,0,24,0,104,0,37,0,25
JUnit,org.junit.runners,BlockJUnit4ClassRunner,0,436,0,38,0,96,0,51,0,32
JUnit,org.junit.runners,Suite,14,72,0,2,3,19,1,10,1,9
JUnit,org.junit.runners,Parameterized.TestClassRunnerForParameters,63,242,2,20,5,48,2,19,0,10
JUnit,org.junit.runners,BlockJUnit4ClassRunner.new ReflectiveCallable() {...},0,10,0,0,0,2,0,2,0,2
JUnit,org.junit.runners,MethodSorters,0,48,0,0,0,8,0,3,0,3
JUnit,org.junit.matchers,JUnitMatchers,30,3,0,0,10,1,10,1,10,1
JUnit,org.junit.experimental,ParallelComputer.new RunnerScheduler() {...},4,23,0,0,2,8,0,3,0,3
JUnit,org.junit.experimental,ParallelComputer,0,58,1,5,0,13,1,8,0,6
JUnit,org.junit.internal.requests,FilterRequest,0,44,0,0,0,11,0,2,0,2
JUnit,org.junit.internal.requests,SortingRequest,0,22,0,0,0,7,0,2,0,2
JUnit,org.junit.internal.requests,ClassRequest,0,42,0,2,0,11,0,4,0,3
JUnit,org.junit.runner,Description,32,286,4,22,5,59,6,35,2,26
JUnit,org.junit.runner,Request.new Request() {...},0,9,0,0,0,2,0,2,0,2
JUnit,org.junit.runner,Computer,0,21,0,0,0,4,0,4,0,4
JUnit,org.junit.runner,JUnitCore,10,204,0,6,4,41,2,16,2,13
JUnit,org.junit.runner,Request,13,62,0,0,3,13,1,10,1,10
JUnit,org.junit.runner,Result.Listener,0,48,0,0,0,13,0,7,0,7
JUnit,org.junit.runner,Result,0,53,0,2,0,12,0,9,0,8
JUnit,org.junit.runner,Computer.new RunnerBuilder() {...},0,16,0,0,0,2,0,2,0,2
JUnit,org.junit.runner,Runner,0,7,0,0,0,2,0,2,0,2
JUnit,org.junit.internal.runners.rules,RuleFieldValidator,0,201,0,20,0,37,0,20,0,10
JUnit,junit.framework,JUnit4TestCaseFacade,5,15,0,0,1,6,1,4,1,4
JUnit,junit.framework,JUnit4TestAdapterCache,10,106,1,11,1,24,1,12,0,7
JUnit,junit.framework,AssertionFailedError,0,14,0,2,0,5,0,4,0,3
JUnit,junit.framework,TestSuite.new TestCase() {...},4,7,0,0,2,1,1,1,1,1
JUnit,junit.framework,TestFailure,49,16,0,0,10,6,4,3,4,3
JUnit,junit.framework,ComparisonFailure,6,22,0,0,2,5,2,2,2,2
JUnit,junit.framework,TestCase,147,158,1,5,56,66,27,27,26,25
JUnit,junit.framework,TestResult.new Protectable() {...},0,13,0,0,0,3,0,2,0,2
JUnit,junit.framework,TestSuite,144,355,5,35,26,79,8,38,3,23
JUnit,junit.framework,JUnit4TestAdapter,3,101,0,8,1,28,1,15,1,11
JUnit,junit.framework,Assert,183,209,8,42,41,61,20,44,12,27
JUnit,junit.framework,ComparisonCompactor,0,258,1,23,0,35,1,19,0,8
JUnit,junit.framework,JUnit4TestAdapterCache.new RunListener() {...},0,36,0,0,0,7,0,4,0,4
JUnit,junit.framework,TestResult,13,205,0,12,6,53,2,22,2,16
JUnit,org.junit.experimental.theories.internal,ParameterizedAssertionError,0,64,0,4,0,16,0,7,0,5
JUnit,org.junit.experimental.theories.internal,Assignments,8,190,0,14,1,44,1,20,1,13
JUnit,org.junit.experimental.theories.internal,AllMembersSupplier,16,213,3,21,7,41,3,18,0,9
JUnit,org.junit.experimental.theories.internal,AllMembersSupplier.MethodParameterValue,16,18,0,0,5,6,1,2,1,2
JUnit,org.junit,ComparisonFailure.ComparisonCompactor,7,251,6,18,1,34,6,14,0,8
JUnit,org.junit,Assert,123,461,5,51,34,132,12,78,7,55
JUnit,org.junit,Assume,29,42,6,4,11,10,9,6,5,5
JUnit,org.junit,ComparisonFailure,6,22,0,0,2,5,2,2,2,2
JUnit,org.junit.experimental.theories.suppliers,TestedOnSupplier,0,40,0,2,0,7,0,3,0,2
JUnit,junit.runner,BaseTestRunner,293,211,29,19,79,58,32,19,14,13
JUnit,junit.runner,Version,4,2,0,0,2,1,1,1,1,1
JUnit,org.junit.internal.runners,ClassRoadie,61,50,2,2,19,20,3,5,1,5
JUnit,org.junit.internal.runners,JUnit4ClassRunner.new Comparator() {...},21,0,0,0,2,0,2,0,2,0
JUnit,org.junit.internal.runners,JUnit4ClassRunner.new Runnable() {...},0,15,0,0,0,3,0,2,0,2
JUnit,org.junit.internal.runners,ErrorReportingRunner,0,104,0,10,0,27,0,11,0,6
JUnit,org.junit.internal.runners,MethodValidator,101,124,7,11,8,33,6,10,0,7
JUnit,org.junit.internal.runners,InitializationError,17,9,0,0,4,4,2,2,2,2
JUnit,org.junit.internal.runners,TestClass,34,147,9,19,7,33,6,20,0,12
JUnit,org.junit.internal.runners,MethodRoadie,130,115,9,7,32,38,9,8,1,8
JUnit,org.junit.internal.runners,FailedBefore,3,0,0,0,1,0,1,0,1,0
JUnit,org.junit.internal.runners,JUnit38ClassRunner.OldTestClassAdaptingListener,3,68,1,3,1,19,1,9,0,8
