GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUnit,org.junit.internal,Classes,3,6,0,0,1,1,1,1,1,1
JUnit,org.junit.internal,ArrayComparisonFailure,3,79,1,3,1,20,2,4,1,3
JUnit,org.junit.internal,ExactComparisonCriteria,0,7,0,0,0,3,0,2,0,2
JUnit,org.junit.internal,ComparisonCriteria,34,99,2,18,4,25,2,12,0,4
JUnit,org.junit.internal,Throwables,4,2,0,0,2,1,1,1,1,1
JUnit,org.junit.internal,TextListener,6,210,0,10,2,41,1,16,1,11
JUnit,org.junit.internal,MethodSorter.new Comparator() {...},0,26,0,4,0,6,0,4,0,2
JUnit,org.junit.internal,AssumptionViolatedException,7,86,0,10,2,24,1,11,1,6
JUnit,org.junit.internal,MethodSorter,0,33,0,4,0,10,0,5,0,3
JUnit,org.junit.internal,RealSystem,0,5,0,0,0,2,0,2,0,2
JUnit,org.junit.internal,MethodSorter.new Comparator() {...},0,19,0,2,0,5,0,3,0,2
JUnit,org.junit.internal,InexactComparisonCriteria,0,41,0,2,0,10,0,4,0,3
JUnit,org.junit.validator,AnnotationsValidator.ClassValidator,0,11,0,0,0,3,0,3,0,3
JUnit,org.junit.validator,AnnotationsValidator,0,54,0,2,0,9,0,4,0,3
JUnit,org.junit.validator,AnnotationsValidator.MethodValidator,0,11,0,0,0,3,0,3,0,3
JUnit,org.junit.validator,PublicClassValidator,0,27,0,2,0,6,0,4,0,3
JUnit,org.junit.validator,AnnotationValidatorFactory,29,36,1,3,3,10,1,4,0,3
JUnit,org.junit.validator,AnnotationValidator,4,8,0,0,2,3,2,3,2,3
JUnit,org.junit.validator,AnnotationsValidator.FieldValidator,4,7,0,0,1,2,1,2,1,2
JUnit,org.junit.validator,AnnotationsValidator.AnnotatableValidator,0,78,0,6,0,19,0,6,0,3
JUnit,junit.extensions,TestDecorator,4,22,0,0,1,9,1,5,1,5
JUnit,junit.extensions,ActiveTestSuite.new Thread() {...},0,21,0,0,0,4,0,2,0,2
