GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis,org.apache.ibatis.cache.decorators,LoggingCache,27,74,1,3,3,21,3,10,2,9
MyBatis,org.apache.ibatis.cache.decorators,TransactionalCache.AddEntry,0,20,0,0,0,7,0,2,0,2
MyBatis,org.apache.ibatis.cache.decorators,TransactionalCache.RemoveEntry,16,0,0,0,6,0,2,0,2,0
MyBatis,org.apache.ibatis.cache.decorators,SoftCache,16,118,1,7,5,33,4,10,3,7
MyBatis,org.apache.ibatis.cache.decorators,SoftCache.SoftEntry,0,8,0,0,0,3,0,1,0,1
MyBatis,org.apache.ibatis.cache.decorators,LruCache.new LinkedHashMap() {...},0,31,0,4,0,5,0,4,0,2
MyBatis,org.apache.ibatis.cache.decorators,WeakCache,16,102,1,7,5,29,4,10,3,7
MyBatis,org.apache.ibatis.cache.decorators,TransactionalCache,34,103,1,7,7,29,4,11,3,8
MyBatis,org.apache.ibatis.cache.decorators,FifoCache,6,68,0,2,2,21,2,9,2,8
MyBatis,org.apache.ibatis.cache.decorators,LruCache,2,78,0,2,1,22,1,10,1,9
MyBatis,org.apache.ibatis.cache.decorators,ScheduledCache,4,82,1,3,2,26,2,12,1,11
MyBatis,org.apache.ibatis.cache.decorators,SerializedCache.CustomObjectInputStream,0,8,0,0,0,3,0,2,0,2
MyBatis,org.apache.ibatis.cache.decorators,WeakCache.WeakEntry,0,8,0,0,0,3,0,1,0,1
MyBatis,org.apache.ibatis.cache.decorators,SerializedCache,47,95,2,4,7,26,4,11,2,10
MyBatis,org.apache.ibatis.cache.decorators,SynchronizedCache,2,43,0,0,1,13,1,9,1,9
MyBatis,org.apache.ibatis.datasource,DataSourceException,0,16,0,0,0,8,0,4,0,4
MyBatis,org.apache.ibatis.executor.statement,CallableStatementHandler,49,135,8,10,6,31,7,9,1,6
MyBatis,org.apache.ibatis.executor.statement,RoutingStatementHandler,29,63,2,2,4,15,3,8,1,7
MyBatis,org.apache.ibatis.executor.statement,BaseStatementHandler,41,125,4,6,14,35,5,8,2,6
MyBatis,org.apache.ibatis.executor.statement,SimpleStatementHandler,106,0,6,0,26,0,9,0,6,0
MyBatis,org.apache.ibatis.executor.statement,PreparedStatementHandler,0,101,0,6,0,26,0,9,0,6
MyBatis,org.apache.ibatis.mapping,DefaultDatabaseIdProvider,3,0,0,0,1,0,1,0,1,0
MyBatis,org.apache.ibatis.mapping,ParameterMapping,3,30,0,0,1,11,1,9,1,9
MyBatis,org.apache.ibatis.mapping,BoundSql,0,48,0,0,0,14,0,7,0,7
MyBatis,org.apache.ibatis.mapping,VendorDatabaseIdProvider,18,64,5,5,7,18,5,6,0,6
MyBatis,org.apache.ibatis.mapping,ResultMap,7,30,0,0,3,10,2,10,2,10
MyBatis,org.apache.ibatis.mapping,ResultSetType,0,48,0,0,0,8,0,3,0,3
MyBatis,org.apache.ibatis.mapping,SqlCommandType,0,54,0,0,0,2,0,1,0,1
MyBatis,org.apache.ibatis.mapping,FetchType,0,34,0,0,0,2,0,1,0,1
MyBatis,org.apache.ibatis.mapping,Environment,18,24,3,3,4,10,4,3,1,3
MyBatis,org.apache.ibatis.mapping,ResultMapping.Builder,28,306,1,27,5,63,3,30,2,17
MyBatis,org.apache.ibatis.mapping,MappedStatement,17,124,4,10,4,35,4,28,1,24
MyBatis,org.apache.ibatis.mapping,ParameterMap,0,9,0,0,0,3,0,3,0,3
MyBatis,org.apache.ibatis.mapping,ResultFlag,0,24,0,0,0,2,0,1,0,1
MyBatis,org.apache.ibatis.mapping,ParameterMap.Builder,4,35,0,0,1,8,1,2,1,2
MyBatis,org.apache.ibatis.mapping,Environment.Builder,3,26,0,0,1,8,1,4,1,4
MyBatis,org.apache.ibatis.mapping,CacheBuilder,237,203,41,15,37,50,23,20,0,15
MyBatis,org.apache.ibatis.mapping,Discriminator.Builder,14,55,7,7,0,11,7,3,0,3
MyBatis,org.apache.ibatis.mapping,ResultMap.Builder,9,247,2,26,2,42,3,16,1,4
