ProjectName, Covered, Not Covered, Total, Percentage Coverage,Percentage in Covered,Percentage in Not Covered,Rank of P. Cov,Rank of P. in not Covered,,
alibaba.druid,5,7,12,75.25,41.6666666666667,58.3333333333333,9,7,,
alibaba.fastjson,9,9,18,87.3333333333333,50,50,2,9.5,,
AsyncHttpClient.async-http-client,2,3,5,74.3333333333333,40,60,10,6,,
brettwooldridge.HikariCP,2,32,34,75.7777777777778,5.88235294117647,94.1176470588235,8,1,,
Bukkit.Bukkit,17,8,25,23.75,68,32,12,12,,
cucumber.cucumber-jvm,1,1,2,84.5,50,50,4,9.5,,
google.auto,5,21,26,85.4285714285714,19.2307692307692,80.7692307692308,3,4,Pearson,0.402929907940795
google.closure-compiler,33,30,63,84.1111111111111,52.3809523809524,47.6190476190476,5,11,,
google.guice,7,13,20,89,35,65,1,5,,
jhy.jsoup,5,6,11,81.8333333333333,45.4545454545455,54.5454545454545,7,8,,
junit-team.junit,6,26,32,84,18.75,81.25,6,3,,
mybatis.mybatis-3,6,30,36,70.6666666666667,16.6666666666667,83.3333333333333,11,2,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hankcs.HanLP,0,4,4,9,0,100,,,,
brianfrankcooper.YCSB,0,7,7,17.75,0,100,,,,
xetorthio.jedis,0,25,25,13,0,100,,,,
checkstyle.checkstyle,0,40,40,98,0,100,,,,
