ProjectName, Covered, Not Covered, Total, Percentage Coverage,Percentage in Covered,Percentage in Not Covered,,,,
alibaba.druid,5,7,12,75.25,41.66666667,58.33333333,,,,
alibaba.fastjson,9,9,18,87.33333333,50,50,,,,
AsyncHttpClient.async-http-client,2,3,5,74.33333333,40,60,,,,
brettwooldridge.HikariCP,2,32,34,75.77777778,5.882352941,94.11764706,,,,
Bukkit.Bukkit,17,8,25,23.75,68,32,,,,
cucumber.cucumber-jvm,1,1,2,84.5,50,50,,,,
google.auto,5,21,26,85.42857143,19.23076923,80.76923077,,,,
google.closure-compiler,33,30,63,84.11111111,52.38095238,47.61904762,,,,
google.guice,7,13,20,77,35,65,,,Pearson,0.402929908
jhy.jsoup,5,6,11,81.83333333,45.45454545,54.54545455,,,,
junit-team.junit,6,26,32,84,18.75,81.25,,,,
mybatis.mybatis-3,6,30,36,70.66666667,16.66666667,83.33333333,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
outliers,,,,,,,,,,
,,,,,,,,,,
hankcs.HanLP,0,4,4,9,0,100,,,,
brianfrankcooper.YCSB,0,7,7,17.75,0,100,,,,
xetorthio.jedis,0,25,25,13,0,100,,,,
checkstyle.checkstyle,0,40,40,98,0,100,,,,
